# ADC, I_true
-2.500000000000000052e-03 9.900000000000000505e-07
-3.074999999999999956e-01 1.548499999999999877e-01
-6.175000000000000488e-01 3.099199999999999733e-01
-9.224999999999999867e-01 4.650500000000000189e-01
-1.225000000000000089e+00 6.196000000000000396e-01
-1.532499999999999973e+00 7.737000000000000544e-01
-1.834999999999999964e+00 9.210000000000000409e-01
-2.134999999999999787e+00 1.076000000000000068e+00
-2.257499999999999840e+00 1.133999999999999897e+00
-2.002499999999999947e+00 1.009700000000000042e+00
#
#SLOPE: -0.503519898224466
#OFFSET -1.1570345658114427e-05
#
