# ADC (A,B,C), I_true (A, B, C)
-3.250000000000000111e-02 5.000000000000000104e-03 -7.499999999999999722e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.150000000000000022e-01 -2.700000000000000178e-01 -2.874999999999999778e-01 1.382099999999999995e-01 1.364200000000000135e-01 1.405299999999999883e-01
-5.925000000000000266e-01 -5.424999999999999822e-01 -5.675000000000000044e-01 2.770799999999999930e-01 2.733800000000000119e-01 2.813999999999999835e-01
-8.625000000000000444e-01 -8.074999999999999956e-01 -8.399999999999999689e-01 4.158999999999999919e-01 4.098999999999999866e-01 4.223000000000000087e-01
-1.125000000000000000e+00 -1.060000000000000053e+00 -1.112500000000000044e+00 5.531000000000000361e-01 5.395999999999999686e-01 5.631000000000000449e-01
-1.377499999999999947e+00 -1.324999999999999956e+00 -1.392500000000000071e+00 6.790000000000000480e-01 6.737999999999999545e-01 7.016000000000000014e-01
-1.649999999999999911e+00 -1.594999999999999973e+00 -1.649999999999999911e+00 8.179999999999999494e-01 8.090000000000000524e-01 8.349999999999999645e-01
-1.927499999999999991e+00 -1.860000000000000098e+00 -1.929999999999999938e+00 9.615000000000000213e-01 9.439999999999999503e-01 9.789999999999999813e-01
-2.189999999999999947e+00 -2.117500000000000160e+00 -2.200000000000000178e+00 1.098000000000000087e+00 1.084000000000000075e+00 1.118999999999999995e+00
-2.165000000000000036e+00 -2.132499999999999840e+00 -2.137500000000000178e+00 1.087599999999999900e+00 1.090000000000000080e+00 1.088000000000000078e+00
